bodyMajor,bodyAngle,bodyArea,lh1_x,lh1_y,lh1Major,lh1Angle,lh1Area,rh1_x,rh1_y,rh1Major,rh1Angle,rh1Area,lh2_x,lh2_y,lh2Major,lh2Angle,lh2Area,rh2_x,rh2_y,rh2Major,rh2Angle,rh2Area,Pose
138,83.797,19945.416,-30,19,45,84.92,2120.85,33,-1,53,90.0,2830.942,-6,-13,55,160.907,3110.58,9,-15,55,-27.951,3110.58,Hands_Crossed
139,83.434,20089.948,-28,19,45,86.186,2120.85,34,-2,54,91.061,3054.024,-5,-13,52,159.829,2777.528,9,-17,55,-25.641,3110.58,Hands_Crossed
141,83.077,20822.034,-28,19,46,88.755,2167.98,33,-2,55,92.083,3110.58,-5,-12,49,161.2,2463.328,9,-17,56,-27.474,3167.136,Hands_Crossed
138,83.387,19945.416,-31,9,50,88.854,2513.6,31,-3,54,87.879,3054.024,-8,-18,48,174.053,2413.056,6,-22,50,-17.354,2513.6,Hands_Crossed
140,84.289,20234.48,-33,7,50,90.0,2513.6,30,-2,56,85.914,3167.136,-8,-18,49,180.0,2463.328,5,-23,48,-15.461,2413.056,Hands_Crossed
141,84.732,20822.034,-34,6,50,90.0,2513.6,30,-2,57,84.987,3402.786,-9,-18,49,-177.663,2463.328,4,-24,48,-15.461,2413.056,Hands_Crossed
141,85.135,20822.034,-33,7,51,90.0,2724.114,30,-1,55,83.774,3110.58,-8,-18,49,-177.663,2463.328,4,-23,47,-13.449,2215.11,Hands_Crossed
142,85.972,20969.708,-32,7,52,91.102,2777.528,31,0,57,84.987,3402.786,-7,-17,49,-175.333,2463.328,5,-23,47,-14.621,2215.11,Hands_Crossed
139,96.159,20089.948,-53,1,69,79.177,4986.354,58,3,65,101.482,4288.83,-22,-30,76,-175.486,5969.8,24,-26,80,-3.576,6535.36,Hands_Crossed
136,90.421,19229.04,-30,-1,58,93.945,3462.484,33,-2,60,91.909,3770.4,-4,-26,48,-170.538,2413.056,11,-25,48,-15.461,2413.056,Hands_Crossed
139,90.824,20089.948,-28,-1,55,98.276,3110.58,28,2,54,87.879,3054.024,0,-22,49,-164.846,2463.328,15,-22,25,-13.496,628.4,Hands_Crossed
139,91.236,20089.948,-29,0,57,93.013,3402.786,28,3,55,88.958,3110.58,-2,-21,54,-163.909,3054.024,15,-20,26,-19.799,653.536,Hands_Crossed
138,91.245,19945.416,-30,-1,56,93.066,3167.136,28,3,55,90.0,3110.58,-3,-22,52,-164.65,2777.528,13,-21,32,-14.47,1005.44,Hands_Crossed
137,91.254,19370.43,-30,-1,55,94.16,3110.58,29,1,54,91.061,3054.024,-3,-22,50,-165.141,2513.6,13,-22,33,-11.976,1140.546,Hands_Crossed
135,90.849,19087.65,-28,-2,55,93.122,3110.58,32,-1,55,88.958,3110.58,0,-30,53,180.0,2830.942,10,-27,43,-3.991,1891.484,Hands_Crossed
136,90.421,19229.04,-29,-3,56,92.045,3167.136,32,-1,55,90.0,3110.58,-2,-34,52,173.418,2777.528,8,-28,48,-1.193,2413.056,Hands_Crossed
136,90.421,19229.04,-29,-2,57,92.01,3402.786,33,-1,55,90.0,3110.58,-2,-34,52,172.333,2777.528,8,-29,50,0.0,2513.6,Hands_Crossed
137,90.418,19370.43,-29,-4,58,91.975,3462.484,33,-3,56,90.0,3167.136,-2,-36,51,173.29,2724.114,8,-30,50,-1.146,2513.6,Hands_Crossed
137,90.418,19370.43,-29,-4,58,92.961,3462.484,33,-3,56,90.0,3167.136,-3,-35,50,174.289,2513.6,8,-30,50,-1.146,2513.6,Hands_Crossed
139,96.159,20089.948,-50,1,69,92.49,4986.354,41,2,69,95.793,4986.354,-12,-33,73,-179.215,5504.784,9,-26,72,-11.155,5429.376,Hands_Crossed
132,100.033,18248.736,-58,-1,68,79.019,4700.432,51,1,69,100.823,4986.354,-28,-35,74,180.0,5580.192,17,-31,81,-2.827,6871.554,Hands_Crossed
132,100.46,18248.736,-59,0,66,80.538,4562.184,51,3,70,103.055,5058.62,-26,-31,78,-177.064,6371.976,19,-30,80,-2.862,6535.36,Hands_Crossed
132,101.733,18248.736,-59,3,64,77.471,4222.848,52,4,71,103.841,5130.886,-26,-27,79,-177.101,6453.668,20,-29,80,-2.862,6535.36,Hands_Crossed
132,101.733,18248.736,-60,3,64,77.471,4222.848,51,4,68,105.255,4700.432,-24,-27,85,-177.979,7477.96,22,-28,76,-1.507,5969.8,Hands_Crossed
134,101.976,18525.232,-60,2,65,78.518,4288.83,52,4,69,105.832,4986.354,-28,-29,77,-178.512,6048.35,23,-28,77,-2.974,6048.35,Hands_Crossed
135,101.476,19087.65,-62,2,65,79.38,4288.83,51,4,69,105.832,4986.354,-30,-30,76,180.0,5969.8,21,-27,78,-3.668,6371.976,Hands_Crossed
135,101.476,19087.65,-62,2,65,79.38,4288.83,50,4,68,106.858,4700.432,-29,-30,77,179.256,6048.35,21,-26,78,-3.668,6371.976,Hands_Crossed
125,85.882,16102.75,-23,2,47,94.865,2215.11,34,2,41,104.036,1674.686,-1,-36,48,143.366,2413.056,35,-34,34,74.745,1175.108,Hands_Crossed
117,88.042,14336.946,-24,-2,49,95.826,2463.328,34,-5,47,100.84,2215.11,-3,-41,46,142.883,2167.98,33,-42,28,69.677,791.784,Hands_Crossed
